,ds,y
201,2023-02-17 12:10:00,53.8955223880597
202,2023-02-17 12:20:00,54.0
203,2023-02-17 12:30:00,53.66666666666666
204,2023-02-17 12:40:00,53.0
205,2023-02-17 12:50:00,53.0
206,2023-02-17 13:00:00,53.7
207,2023-02-17 13:10:00,54.0
208,2023-02-17 13:20:00,54.0
209,2023-02-17 13:30:00,54.0
210,2023-02-17 13:40:00,54.0
211,2023-02-17 13:50:00,54.0
212,2023-02-17 14:00:00,54.0
213,2023-02-17 14:10:00,54.38
214,2023-02-17 14:20:00,55.0
215,2023-02-17 14:30:00,55.0
216,2023-02-17 14:40:00,55.0
217,2023-02-17 14:50:00,55.0
218,2023-02-17 15:00:00,55.0
219,2023-02-17 15:10:00,55.0
220,2023-02-17 15:20:00,55.0
221,2023-02-17 15:30:00,55.0
222,2023-02-17 15:40:00,55.0
223,2023-02-17 15:50:00,55.0
224,2023-02-17 16:00:00,55.0
225,2023-02-17 16:10:00,55.0
226,2023-02-17 16:20:00,55.0
227,2023-02-17 16:30:00,55.0
228,2023-02-17 16:40:00,55.0
229,2023-02-17 16:50:00,55.0
230,2023-02-17 17:00:00,55.0
231,2023-02-17 17:10:00,55.0
232,2023-02-17 17:20:00,55.0
233,2023-02-17 17:30:00,56.0
234,2023-02-17 17:40:00,56.0
235,2023-02-17 17:50:00,56.0
236,2023-02-17 18:00:00,56.0
237,2023-02-17 18:10:00,56.0
238,2023-02-17 18:20:00,56.0
239,2023-02-17 18:30:00,56.0
240,2023-02-17 18:40:00,56.0
241,2023-02-17 18:50:00,56.0
242,2023-02-17 19:00:00,56.0
243,2023-02-17 19:10:00,56.0
244,2023-02-17 19:20:00,56.0
245,2023-02-17 19:30:00,56.0
246,2023-02-17 19:40:00,56.75757575757576
247,2023-02-17 19:50:00,57.0
248,2023-02-17 20:00:00,57.0
249,2023-02-17 20:10:00,57.0
250,2023-02-17 20:20:00,57.0
251,2023-02-17 20:30:00,57.0
252,2023-02-17 20:40:00,57.0
253,2023-02-17 20:50:00,57.0
254,2023-02-17 21:00:00,57.0
255,2023-02-17 21:10:00,56.14705882352941
